;Date;Low;High;Close;Open
4478;2017-10-19;77,35;77,93;77,91;77,57
4477;2017-10-18;77,37;77,85;77,61;77,67
4476;2017-10-17;77,25;77,62;77,59;77,47
4475;2017-10-16;77,35;77,81;77,65;77,42
4474;2017-10-13;77,29;77,87;77,49;77,59
4473;2017-10-12;76,37;77,29;77,12;76,49
4472;2017-10-11;75,95;76,46;76,42;76,36
4471;2017-10-10;76,14;76,63;76,29;76,33
4470;2017-10-09;75,86;76,55;76,29;75,97
4469;2017-10-06;75,54;76,03;76,0;75,67
4468;2017-10-05;74,96;76,12;75,97;75,22
4467;2017-10-04;73,71;74,72;74,69;74,0
4466;2017-10-03;74,195;74,88;74,26;74,67
4465;2017-10-02;74,295;75,01;74,61;74,71
4464;2017-09-29;73,88;74,535;74,49;73,94
4463;2017-09-28;73,31;73,97;73,87;73,54
4462;2017-09-27;73,17;74,17;73,85;73,55
4461;2017-09-26;72,99;73,81;73,26;73,67
4460;2017-09-25;72,92;74,25;73,26;74,09
4459;2017-09-22;73,85;74,51;74,41;73,99
4458;2017-09-21;74,11;75,24;74,21;75,11
4457;2017-09-20;74,31;75,55;74,94;75,35
4456;2017-09-19;75,01;75,71;75,44;75,21
4455;2017-09-18;75,04;75,97;75,16;75,23
4454;2017-09-15;74,07;75,39;75,31;74,83
4453;2017-09-14;74,52;75,49;74,77;75,0
4452;2017-09-13;74,55;75,23;75,21;74,93
4451;2017-09-12;74,37;75,24;74,68;74,76
4450;2017-09-11;74,31;74,945;74,76;74,31
4449;2017-09-08;73,84;74,44;73,98;74,33
4448;2017-09-07;73,6;74,6;74,34;73,68
4447;2017-09-06;73,35;74,04;73,4;73,74
4446;2017-09-05;72,98;73,89;73,61;73,34
4445;2017-09-01;73,64;74,74;73,94;74,71
4444;2017-08-31;73,8;74,96;74,77;74,03
4443;2017-08-30;72,8293;74,2099;74,01;73,01
4442;2017-08-29;72,05;73,16;73,05;72,25
4441;2017-08-28;72,55;73,09;72,83;73,06
4440;2017-08-25;72,48;73,35;72,82;72,86
4439;2017-08-24;72,07;72,86;72,69;72,74
4438;2017-08-23;72,53;73,15;72,72;72,96
4437;2017-08-22;72,35;73,24;73,16;72,35
4436;2017-08-21;71,7;72,48;72,15;72,47
4435;2017-08-18;71,93;72,84;72,49;72,27
4434;2017-08-17;72,4;73,87;72,4;73,58
